Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error,NN Run 9 Cost,NN Run 9 Error,NN Run 10 Cost,NN Run 10 Error
50,2.7545,3.0505,10.7465,3.0139,9.4193,3.2602,18.3591,3.2287,17.2152,2.8409,3.1388,3.0800,11.8183,2.7545,-0.0000,2.7545,0.0000,3.2968,19.6904,3.0946,12.3480,3.1597,14.7126
51,2.5855,2.6175,1.2353,2.7621,6.8273,2.5855,-0.0000,2.8273,9.3497,2.9347,13.5061,2.7621,6.8273,2.8961,12.0105,2.7283,5.5236,2.5855,0.0000,2.7509,6.3960,2.7603,6.7589
52,2.4950,2.4974,0.0985,3.3361,33.7122,3.5832,43.6179,2.4950,0.0000,2.4950,0.0000,2.4950,0.0000,3.2341,29.6245,2.4950,0.0000,3.0217,21.1106,2.4974,0.0985,2.4950,0.0000
53,3.0293,3.0293,0.0000,3.3149,9.4301,3.3447,10.4128,3.7632,24.2279,3.3447,10.4128,3.0293,0.0000,3.3447,10.4128,3.0293,-0.0000,3.6816,21.5337,3.3554,10.7677,3.0293,-0.0000
54,2.3304,2.3304,0.0000,2.6445,13.4757,2.6445,13.4757,2.6445,13.4757,2.7510,18.0486,2.8316,21.5065,2.8073,20.4628,2.8209,21.0454,2.6010,11.6111,2.6337,13.0146,2.7321,17.2348
55,3.0910,3.1807,2.9017,3.1908,3.2296,3.9827,28.8468,3.0910,0.0000,4.0168,29.9510,3.2110,3.8822,3.2919,6.5005,4.0502,31.0311,3.0910,0.0000,3.1807,2.9017,3.1908,3.2296
56,3.1609,3.1916,0.9709,3.5288,11.6396,3.5249,11.5168,3.5288,11.6396,3.5382,11.9362,3.5978,13.8214,3.3587,6.2590,3.4160,8.0694,3.1609,0.0000,3.1609,0.0000,3.9957,26.4116
57,2.5211,2.5211,0.0000,2.8218,11.9287,2.8218,11.9287,2.5211,0.0000,2.8218,11.9287,2.9131,15.5518,2.8612,13.4920,2.8698,13.8338,2.8745,14.0193,2.5211,-0.0000,2.5211,0.0000
58,3.7361,3.7777,1.1131,4.2052,12.5543,3.9051,4.5214,3.9813,6.5625,4.2159,12.8422,4.4324,18.6365,3.7865,1.3494,3.7668,0.8208,3.9425,5.5236,4.0380,8.0793,3.7865,1.3494
59,2.9828,2.9828,0.0000,3.3116,11.0236,2.9828,0.0000,2.9828,0.0000,3.0295,1.5664,3.4620,16.0665,3.4213,14.7021,3.4620,16.0665,3.3630,12.7458,2.9828,0.0000,3.0966,3.8157
60,2.3038,2.3367,1.4280,2.4255,5.2814,2.6380,14.5057,2.4255,5.2814,2.3367,1.4280,2.3742,3.0580,2.6815,16.3975,2.3659,2.6956,2.3367,1.4280,2.4526,6.4605,2.4255,5.2814
61,2.6756,2.6965,0.7835,2.9204,9.1510,3.2585,21.7880,3.2360,20.9462,3.3500,25.2082,3.2080,19.8996,2.8634,7.0204,3.3452,25.0262,3.1032,15.9830,3.0596,14.3521,3.2904,22.9786
62,2.9114,2.9114,0.0000,2.9694,1.9934,3.4317,17.8739,3.4237,17.5989,2.9694,1.9934,3.1484,8.1411,3.2361,11.1539,3.1663,8.7580,3.1663,8.7580,2.9694,1.9934,2.9694,1.9934
63,3.2038,3.3122,3.3825,3.9444,23.1157,3.2038,0.0000,3.5054,9.4154,3.9728,24.0040,4.2255,31.8908,3.2038,0.0000,3.6272,13.2151,3.2038,0.0000,3.3681,5.1285,3.2038,0.0000
64,2.4711,2.4711,0.0000,2.5239,2.1345,2.6481,7.1636,2.5493,3.1638,2.5477,3.0998,2.5239,2.1345,2.5315,2.4418,2.5315,2.4418,2.8486,15.2768,2.6160,5.8628,2.7381,10.8033
65,2.3488,2.3941,1.9277,2.7017,15.0247,2.7017,15.0247,2.8065,19.4834,2.7143,15.5612,2.8932,23.1764,2.9788,26.8229,2.8242,20.2402,2.6113,11.1746,2.7439,16.8188,3.0332,29.1351
66,2.8849,2.8857,0.0265,3.5178,21.9356,3.6525,26.6074,3.3792,17.1320,3.1760,10.0888,3.3765,17.0389,3.3765,17.0389,3.3904,17.5213,3.9958,38.5077,3.4357,19.0926,3.5178,21.9356
67,2.7836,2.7836,-0.0000,2.8017,0.6492,3.1210,12.1206,3.1391,12.7697,2.9789,7.0155,3.1210,12.1206,2.9389,5.5778,3.2298,16.0291,3.1130,11.8336,2.8017,0.6492,2.9125,4.6314
68,3.1429,3.2926,4.7617,3.1429,0.0000,3.7511,19.3518,3.9457,25.5427,3.6362,15.6945,3.1885,1.4517,3.5528,13.0421,3.5343,12.4526,3.6937,17.5249,3.1429,0.0000,3.4128,8.5874
69,3.0714,3.0909,0.6357,3.4693,12.9562,3.2186,4.7923,3.1963,4.0681,3.1384,2.1816,3.5220,14.6707,3.0909,0.6357,3.4140,11.1553,3.2823,6.8672,3.4864,13.5135,3.0909,0.6357
70,2.5185,2.5185,0.0000,2.5557,1.4769,2.5185,0.0000,2.5185,0.0000,2.9542,17.3016,2.5534,1.3848,2.8633,13.6905,2.7433,8.9283,2.5185,0.0000,2.5185,0.0000,2.5185,0.0000
71,3.1312,3.5032,11.8789,3.5201,12.4180,3.4348,9.6955,3.4454,10.0317,3.9739,26.9120,3.1312,0.0000,3.3064,5.5937,3.9828,27.1940,3.1312,0.0000,3.1312,0.0000,3.3173,5.9404
72,2.9189,2.9189,0.0000,3.1733,8.7158,3.0693,5.1540,2.9189,0.0000,3.2907,12.7391,3.0228,3.5618,3.0228,3.5618,3.0693,5.1540,3.2266,10.5424,2.9541,1.2079,3.0693,5.1540
73,2.5053,2.6112,4.2264,2.6815,7.0314,2.7445,9.5462,2.6678,6.4845,2.7445,9.5462,2.7519,9.8424,3.0470,21.6187,2.6297,4.9626,2.7042,7.9365,2.9003,15.7646,2.9191,16.5146
74,2.4117,2.6038,7.9626,2.5933,7.5268,2.6145,8.4073,2.4252,0.5584,2.6202,8.6442,2.6946,11.7294,2.5254,4.7129,2.5254,4.7129,2.6455,9.6929,2.6455,9.6929,2.5379,5.2314
75,2.5799,2.5799,0.0000,2.5799,0.0000,2.9912,15.9418,2.8758,11.4700,2.5799,0.0000,2.5799,0.0000,2.5799,0.0000,2.6628,3.2123,2.5799,0.0000,2.6208,1.5858,2.5799,-0.0000
76,2.9567,3.1959,8.0872,3.1282,5.7983,3.2496,9.9048,2.9567,0.0000,3.2496,9.9048,3.2496,9.9048,3.2496,9.9048,2.9567,0.0000,3.0748,3.9939,2.9567,0.0000,2.9567,0.0000
77,3.1320,3.1376,0.1776,3.2390,3.4161,3.1364,0.1399,3.2247,2.9596,3.1364,0.1399,3.3073,5.5977,3.2816,4.7745,3.6085,15.2142,3.1376,0.1776,3.4115,8.9249,3.2816,4.7745
78,2.5922,2.5922,0.0000,3.1709,22.3233,2.9200,12.6458,3.0747,18.6121,3.0985,19.5308,2.8774,11.0037,2.8980,11.7954,3.5514,37.0012,3.1147,20.1564,2.8876,11.3944,2.9968,15.6079
79,2.7497,2.7497,0.0000,2.7497,0.0000,3.2770,19.1755,2.9806,8.3970,2.7497,-0.0000,2.7497,0.0000,2.7497,-0.0000,2.8992,5.4359,2.7497,0.0000,2.7497,0.0000,2.9434,7.0446
80,2.4224,2.5272,4.3271,2.9411,21.4116,3.0055,24.0711,2.8448,17.4375,3.0260,24.9175,2.9238,20.6998,2.8512,17.7026,2.9411,21.4116,2.8633,18.2015,2.8512,17.7026,3.1046,28.1639
81,2.6619,2.6619,-0.0000,2.6619,0.0000,3.1131,16.9479,2.8383,6.6274,3.4664,30.2216,2.8383,6.6274,2.9926,12.4232,2.8383,6.6274,3.9272,47.5315,2.8383,6.6274,2.6619,0.0000
82,3.1350,3.1510,0.5077,4.1657,32.8773,3.8700,23.4445,3.3148,5.7339,4.2086,34.2440,3.8078,21.4584,3.3735,7.6075,3.8078,21.4584,3.6978,17.9495,4.2574,35.8010,4.1708,33.0399
83,2.9294,3.0214,3.1399,3.7260,27.1955,3.8980,33.0643,3.6969,26.2006,3.2571,11.1874,3.2571,11.1874,3.8659,31.9698,4.0548,38.4187,3.3119,13.0581,3.3827,15.4754,3.3119,13.0581
84,2.3245,2.3245,0.0000,2.3983,3.1743,2.7160,16.8432,2.3983,3.1743,2.3983,3.1743,2.7146,16.7833,2.6288,13.0934,2.6288,13.0934,2.3247,0.0085,2.3247,0.0085,2.3611,1.5752
85,2.9990,3.0055,0.2159,3.5514,18.4187,3.9831,32.8145,3.5252,17.5476,3.9541,31.8489,3.5317,17.7635,3.4599,15.3680,2.9990,0.0000,3.5308,17.7325,3.4601,15.3746,2.9990,0.0000
86,2.6730,2.6730,-0.0000,3.5452,32.6292,2.6730,0.0000,2.6730,0.0000,3.0715,14.9103,2.6730,-0.0000,2.6730,0.0000,3.0994,15.9512,2.6730,-0.0000,3.5458,32.6542,3.0990,15.9383
87,2.9119,2.9119,0.0000,3.4652,18.9999,2.9119,0.0000,3.5172,20.7855,3.6013,23.6734,3.5562,22.1264,3.3517,15.1026,3.1818,9.2677,3.3132,13.7804,3.1818,9.2677,3.3517,15.1026
88,3.0476,3.0476,0.0000,3.5892,17.7724,3.6908,21.1030,3.7237,22.1856,3.7811,24.0669,3.6018,18.1844,3.5357,16.0157,3.2160,5.5262,3.8744,27.1298,3.6018,18.1844,3.3813,10.9493
89,2.8020,2.8923,3.2229,2.8923,3.2229,2.8923,3.2229,3.0158,7.6322,3.0090,7.3866,3.0158,7.6322,3.0158,7.6322,3.0158,7.6322,3.6529,30.3679,3.0158,7.6322,3.0789,9.8840
90,2.5807,2.7287,5.7349,2.6569,2.9540,2.8670,11.0945,2.8670,11.0945,2.7851,7.9187,2.9858,15.6967,2.6569,2.9540,2.8858,11.8217,2.6569,2.9540,2.9903,15.8708,2.7331,5.9051
91,2.5273,2.8107,11.2130,3.0463,20.5336,2.5273,0.0000,2.8214,11.6367,2.9185,15.4783,3.0875,22.1630,2.5273,0.0000,2.9185,15.4783,2.9876,18.2102,2.8402,12.3781,2.8402,12.3781
92,3.5016,3.6561,4.4135,3.7673,7.5876,3.5016,0.0000,3.9239,12.0612,3.6869,5.2919,4.2743,22.0674,4.2925,22.5872,3.9239,12.0612,4.0288,15.0567,4.1343,18.0690,3.9257,12.1112
93,2.4662,2.4662,0.0000,2.7591,11.8774,2.4662,-0.0000,2.4662,0.0000,2.6064,5.6850,3.0847,25.0788,3.0156,22.2794,2.8501,15.5688,2.6064,5.6850,2.5498,3.3911,3.0000,21.6443
94,3.0258,3.3049,9.2246,3.2377,7.0039,3.3101,9.3975,3.3247,9.8815,3.2323,6.8266,3.3458,10.5767,3.3101,9.3975,3.2433,7.1888,3.2377,7.0039,3.0258,0.0000,3.0579,1.0606
95,2.9750,3.0544,2.6708,3.1544,6.0321,3.2505,9.2616,3.7190,25.0091,3.2505,9.2616,3.2790,10.2198,3.1544,6.0321,3.3278,11.8594,3.4611,16.3398,3.5007,17.6732,3.2505,9.2616
96,2.7130,2.7130,0.0000,3.5584,31.1646,2.7130,0.0000,2.9684,9.4147,2.9684,9.4147,3.0909,13.9301,2.8019,3.2789,2.7705,2.1194,2.8467,4.9314,2.7130,0.0000,2.8921,6.6028
97,3.0021,3.2432,8.0330,3.4323,14.3319,3.2118,6.9844,3.2086,6.8809,3.4851,16.0898,3.1917,6.3150,3.4300,14.2536,3.3402,11.2620,3.0875,2.8456,3.2118,6.9844,3.2118,6.9844
98,2.8269,2.8269,0.0000,3.1262,10.5896,2.9746,5.2272,2.8269,0.0000,2.8269,0.0000,2.9524,4.4389,3.1149,10.1902,2.9064,2.8123,2.9617,4.7679,2.9856,5.6140,2.9856,5.6140
99,2.8328,2.8553,0.7949,3.5934,26.8490,3.4390,21.3999,3.4997,23.5416,3.2606,15.1018,3.2381,14.3069,2.8328,0.0000,3.7675,32.9943,3.4718,22.5564,2.8328,0.0000,3.5535,25.4392
100,3.3730,3.4031,0.8929,3.6669,8.7145,3.9493,17.0861,3.5159,4.2381,3.5409,4.9796,3.6880,9.3386,4.0036,18.6966,3.9377,16.7425,3.8376,13.7758,3.6781,9.0457,3.5159,4.2381
