Run,Optimal Cost,N-Body Cost,N-Body Error,NN Run 1 Cost,NN Run 1 Error,NN Run 2 Cost,NN Run 2 Error,NN Run 3 Cost,NN Run 3 Error,NN Run 4 Cost,NN Run 4 Error,NN Run 5 Cost,NN Run 5 Error,NN Run 6 Cost,NN Run 6 Error,NN Run 7 Cost,NN Run 7 Error,NN Run 8 Cost,NN Run 8 Error
12,3.0724,3.2814,6.8027,3.0724,0.0000,3.1112,1.2627,3.0724,0.0000,3.1112,1.2627,3.2710,6.4628,3.6709,19.4802,3.3015,7.4571,3.0724,0.0000
13,3.4212,3.5446,3.6070,3.4940,2.1290,3.5378,3.4068,3.7143,8.5675,3.8346,12.0845,3.5287,3.1417,3.4940,2.1290,3.6071,5.4326,3.5287,3.1417
14,3.1113,3.4810,11.8834,3.1113,0.0000,3.5984,15.6573,3.7178,19.4940,3.1114,0.0039,3.1113,0.0000,3.1114,0.0039,3.4641,11.3406,3.1114,0.0039
15,2.5844,2.6497,2.5262,3.3870,31.0559,2.8082,8.6614,3.0752,18.9889,2.8082,8.6614,2.9674,14.8205,2.9778,15.2213,3.1353,21.3165,2.8035,8.4766
16,2.4662,2.5268,2.4591,2.6737,8.4134,2.5967,5.2907,2.6480,7.3702,2.6737,8.4134,2.6737,8.4134,2.4662,-0.0000,2.4662,0.0000,2.6587,7.8046
17,2.3068,2.3068,0.0000,2.3078,0.0449,2.3078,0.0449,2.3264,0.8480,2.3264,0.8480,2.4198,4.8994,2.4118,4.5521,2.3667,2.5986,2.3068,0.0000
18,3.2199,3.5104,9.0242,3.2199,0.0000,3.3200,3.1105,3.2199,0.0000,3.5989,11.7720,3.2199,0.0000,3.2199,0.0000,3.3200,3.1105,3.8822,20.5691
19,2.9188,2.9188,0.0000,2.9801,2.0989,2.9188,0.0000,3.1098,6.5425,3.1098,6.5425,3.1281,7.1710,3.1098,6.5425,2.9801,2.0989,2.9801,2.0989
20,2.6293,2.6293,0.0000,2.8514,8.4472,3.0136,14.6160,3.0311,15.2839,2.6751,1.7440,2.6293,0.0000,2.6293,-0.0000,2.9398,11.8101,2.6293,0.0000
21,2.7117,2.7117,0.0000,3.2085,18.3207,2.7806,2.5391,3.2224,18.8324,2.8530,5.2090,3.0689,13.1726,3.2458,19.6978,2.7806,2.5391,2.8530,5.2090
22,2.8631,2.9792,4.0538,2.8631,0.0000,3.0471,6.4262,3.3246,16.1161,3.1156,8.8162,3.0471,6.4262,2.8631,0.0000,2.9915,4.4842,2.9818,4.1451
23,2.6982,2.7543,2.0779,2.6982,0.0000,2.9369,8.8431,2.9369,8.8431,3.1007,14.9167,2.6982,0.0000,2.9538,9.4694,3.4614,28.2837,2.9020,7.5498
24,2.6989,2.6989,0.0000,2.7990,3.7052,2.7703,2.6444,2.7947,3.5474,2.7990,3.7052,2.6989,0.0000,2.7947,3.5474,2.6989,0.0000,2.8746,6.5071
25,2.5024,2.5024,-0.0000,2.5024,0.0000,2.6331,5.2229,2.5024,-0.0000,2.5024,0.0000,2.6331,5.2229,2.5024,-0.0000,2.6331,5.2229,2.6331,5.2229
26,1.8938,1.8938,0.0000,2.0793,9.7980,1.8938,-0.0000,2.0793,9.7980,1.8938,0.0000,2.0605,8.8023,2.0557,8.5519,2.0793,9.7980,2.0793,9.7980
27,2.3258,2.3821,2.4235,2.4451,5.1309,2.8287,21.6262,2.3560,1.2987,2.6115,12.2873,2.3296,0.1664,2.6867,15.5193,2.3560,1.2987,2.3560,1.2987
28,2.6726,2.6726,-0.0000,2.9248,9.4358,2.8671,7.2772,2.7562,3.1258,3.0040,12.3986,2.8671,7.2772,2.6726,0.0000,2.6726,0.0000,2.9913,11.9251
29,3.0141,3.0141,0.0000,3.0337,0.6492,3.0337,0.6492,3.4161,13.3362,3.3190,10.1146,3.3701,11.8106,3.0141,0.0000,3.0337,0.6492,3.1722,5.2441
30,2.6086,2.6086,0.0000,2.8691,9.9887,2.6243,0.6048,2.7040,3.6597,2.7666,6.0598,2.6243,0.6048,2.6086,0.0000,2.6243,0.6048,2.7666,6.0598
31,2.3582,2.7521,16.7037,2.4926,5.7015,2.4588,4.2690,2.4926,5.7015,2.6547,12.5754,2.8916,22.6200,2.3582,0.0000,2.4926,5.7015,2.4926,5.7015
32,3.1828,3.1828,0.0000,3.1828,0.0000,3.3863,6.3917,3.1828,0.0000,3.3863,6.3917,3.4320,7.8280,3.3863,6.3917,3.3863,6.3917,3.6867,15.8317
33,2.7279,2.8833,5.6963,3.3160,21.5610,2.7449,0.6230,2.7449,0.6230,2.7449,0.6230,2.7449,0.6230,3.2043,17.4641,2.7279,0.0000,2.8036,2.7762
34,2.9078,2.9498,1.4446,3.1855,9.5500,3.2527,11.8617,3.1855,9.5500,2.9078,0.0000,3.1435,8.1055,2.9078,0.0000,3.1435,8.1055,3.1293,7.6198
35,2.4939,2.4939,0.0000,2.4939,0.0000,2.4939,0.0000,2.4939,0.0000,2.8409,13.9126,2.9463,18.1404,2.7287,9.4156,2.4939,0.0000,2.7448,10.0599
36,2.6193,2.6193,0.0000,2.6490,1.1335,3.0590,16.7844,2.9744,13.5552,2.6490,1.1335,3.1628,20.7478,2.9744,13.5552,3.1628,20.7478,3.0757,17.4220
37,2.9941,2.9941,-0.0000,3.1923,6.6179,3.3670,12.4538,3.0427,1.6217,3.1923,6.6179,3.3159,10.7453,3.1923,6.6179,3.0427,1.6217,3.2181,7.4784
38,2.4393,2.4393,0.0000,2.6364,8.0795,2.4393,0.0000,2.4393,0.0000,2.7823,14.0607,2.4393,0.0000,2.6364,8.0795,2.6176,7.3097,2.4393,0.0000
39,2.4323,2.4323,0.0000,2.7293,12.2128,2.7165,11.6857,2.8207,15.9674,2.7165,11.6857,2.7808,14.3298,2.5136,3.3429,2.5136,3.3429,2.7165,11.6857
40,2.1223,2.1408,0.8740,2.3755,11.9318,2.3755,11.9318,2.3669,11.5256,2.4704,16.4040,2.3029,8.5132,2.1408,0.8740,2.1408,0.8740,2.1223,0.0000
41,2.8728,2.8728,0.0000,2.8728,0.0000,3.1868,10.9300,2.9613,3.0809,2.9613,3.0809,3.6519,27.1221,3.5073,22.0896,3.1341,9.0979,3.3589,16.9214
42,2.4371,2.4371,0.0000,2.5567,4.9092,2.5473,4.5211,2.4371,0.0000,2.4371,0.0000,2.4371,0.0000,3.0451,24.9469,2.4371,0.0000,2.9240,19.9813
43,2.7723,2.7723,0.0000,2.7723,0.0000,2.8589,3.1217,2.8536,2.9319,2.7723,0.0000,3.1576,13.8966,2.8536,2.9319,2.8589,3.1217,2.8589,3.1217
44,2.5404,2.5404,0.0000,2.5404,0.0000,2.6800,5.4963,2.5404,0.0000,2.5404,0.0000,2.7806,9.4550,2.8406,11.8185,2.5404,0.0000,2.5404,0.0000
45,2.6910,2.6910,0.0000,2.8751,6.8420,2.8779,6.9478,3.6286,34.8430,3.2416,20.4630,3.1289,16.2726,2.8779,6.9478,3.2416,20.4630,2.8779,6.9478
46,2.5860,2.5860,0.0000,2.8324,9.5290,2.9301,13.3075,2.9020,12.2228,3.3411,29.2014,2.8324,9.5290,2.8122,8.7502,2.8122,8.7502,3.2409,25.3257
47,2.5426,2.5426,0.0000,2.7153,6.7926,2.6847,5.5869,2.7153,6.7926,2.9027,14.1635,2.7153,6.7926,2.6847,5.5869,2.6847,5.5869,2.7946,9.9121
48,2.7960,2.8005,0.1589,2.7960,0.0000,2.7960,0.0000,2.9556,5.7064,2.8999,3.7148,2.9259,4.6465,2.8590,2.2530,2.7960,0.0000,3.2981,17.9591
49,2.6738,2.6738,0.0000,2.7848,4.1486,2.7848,4.1486,2.9072,8.7265,2.8243,5.6280,2.9323,9.6671,2.6738,0.0000,3.0393,13.6694,2.8243,5.6280
50,2.3978,2.3978,-0.0000,2.7085,12.9567,2.4843,3.6057,2.6174,9.1598,2.3978,0.0000,2.3978,0.0000,2.7816,16.0056,2.6174,9.1598,2.6542,10.6949
51,2.4540,2.6957,9.8510,2.4540,0.0000,2.5968,5.8198,2.5968,5.8198,2.4540,0.0000,2.6957,9.8510,2.5968,5.8198,2.5968,5.8198,2.6193,6.7389
52,2.3574,2.3598,0.1042,2.3574,0.0000,2.3574,0.0000,2.8841,22.3427,3.1459,33.4492,2.3598,0.1042,2.3574,0.0000,2.3574,0.0000,2.3574,0.0000
53,2.9798,2.9798,0.0000,3.1845,6.8708,3.0540,2.4905,3.2459,8.9321,3.1737,6.5100,3.1722,6.4600,3.0540,2.4905,3.2479,9.0005,3.1737,6.5100
54,2.0131,2.0131,0.0000,2.5119,24.7775,2.3247,15.4807,2.3055,14.5252,2.3247,15.4807,2.3247,15.4807,2.5119,24.7775,2.4313,20.7745,2.4123,19.8324
55,2.8230,2.8230,0.0000,2.8230,0.0000,2.9042,2.8767,3.6290,28.5540,2.8230,0.0000,2.8230,0.0000,3.6910,30.7507,2.8230,0.0000,2.9194,3.4155
56,3.0947,3.0947,-0.0000,3.3553,8.4188,3.5933,16.1113,3.0947,0.0000,3.1059,0.3604,3.3553,8.4188,3.4717,12.1796,3.4678,12.0543,3.5300,14.0645
57,2.3753,2.3753,0.0000,2.7155,14.3198,2.3753,0.0000,2.3753,0.0000,2.3753,0.0000,2.3753,0.0000,2.3753,0.0000,2.9909,25.9134,2.6427,11.2579
58,2.7342,2.7723,1.3927,3.3521,22.5982,3.0715,12.3374,3.1302,14.4827,3.1302,14.4827,3.0639,12.0593,3.5686,30.5158,3.3521,22.5982,2.8443,4.0272
59,2.5546,2.5546,-0.0000,3.1519,23.3824,2.6626,4.2269,3.2445,27.0072,2.8834,12.8712,2.5546,0.0000,2.5546,0.0000,3.0338,18.7594,2.9931,17.1664
60,2.2276,2.2278,0.0081,2.2981,3.1625,2.2897,2.7877,2.2605,1.4768,2.2605,1.4768,2.2981,3.1625,2.3851,7.0704,2.2983,3.1706,2.3851,7.0704
61,2.5945,2.5945,0.0000,2.5945,0.0000,3.2062,23.5745,2.6163,0.8387,2.7181,4.7635,2.6163,0.8387,2.7181,4.7635,2.6163,0.8387,3.1272,20.5294
62,2.6645,2.6645,0.0000,2.6645,0.0000,2.9399,10.3339,2.6825,0.6740,2.6825,0.6740,2.6825,0.6740,2.9479,10.6344,2.6645,0.0000,2.6825,0.6740
63,3.0056,3.0056,-0.0000,3.0412,1.1831,3.1483,4.7495,3.0412,1.1831,3.7388,24.3932,3.2055,6.6498,3.6378,21.0345,3.0412,1.1831,3.0412,1.1831
64,2.0805,2.0805,0.0000,2.1536,3.5112,2.1784,4.7036,2.1239,2.0857,2.1551,3.5872,2.2540,8.3380,2.1373,2.7296,2.3005,10.5716,2.1373,2.7296
65,1.9491,1.9491,0.0000,2.5495,30.8007,2.0160,3.4320,2.5353,30.0764,2.0160,3.4320,2.0790,6.6633,2.1379,9.6876,2.1379,9.6876,2.2667,16.2957
66,2.1538,2.1678,0.6517,2.1725,0.8688,2.4003,11.4432,2.3679,9.9402,2.2840,6.0469,2.1557,0.0875,2.3684,9.9629,2.1546,0.0355,2.1546,0.0355
67,2.6914,2.6914,0.0000,2.8686,6.5845,2.8286,5.0975,3.0104,11.8540,2.6914,0.0000,2.6914,0.0000,3.0288,12.5359,3.0288,12.5359,3.1272,16.1933
68,2.6200,2.6200,0.0000,2.7653,5.5460,2.7728,5.8306,2.6200,0.0000,2.6200,0.0000,2.6200,0.0000,2.6200,0.0000,2.6200,0.0000,2.7728,5.8306
69,2.8099,2.9440,4.7745,2.8966,3.0847,2.9440,4.7745,3.2468,15.5507,3.0242,7.6282,3.1790,13.1381,3.3061,17.6585,3.3665,19.8087,2.8966,3.0847
70,2.4135,2.4135,0.0000,2.4135,0.0000,2.6427,9.4927,2.4135,0.0000,2.6908,11.4889,2.4135,0.0000,2.4507,1.5411,2.7336,13.2608,2.6799,11.0338
71,2.8094,2.8562,1.6642,3.0240,7.6383,2.8094,-0.0000,3.0240,7.6383,2.8094,-0.0000,2.8940,3.0091,3.1813,13.2352,3.7084,31.9975,2.8094,-0.0000
72,2.8323,2.8862,1.9041,3.3483,18.2191,2.8862,1.9041,3.1541,11.3618,3.3701,18.9877,2.8862,1.9041,3.3701,18.9877,2.8862,1.9041,3.1940,12.7687
73,2.2246,2.2246,0.0000,2.4234,8.9382,2.5141,13.0165,2.7143,22.0149,2.6925,21.0333,2.6665,19.8684,2.4234,8.9382,2.6081,17.2406,2.6665,19.8684
74,2.0147,2.0865,3.5608,2.1274,5.5938,2.1274,5.5938,2.2165,10.0162,2.1828,8.3416,2.1274,5.5938,2.0147,0.0000,2.1274,5.5938,2.1274,5.5938
75,2.5249,2.5249,0.0000,2.5249,0.0000,2.5249,0.0000,2.5982,2.9051,2.5249,0.0000,2.5249,0.0000,2.8953,14.6688,2.5249,0.0000,2.5249,0.0000
76,2.8010,2.8850,2.9965,2.8010,0.0000,2.8010,0.0000,3.0939,10.4553,2.8010,0.0000,3.0939,10.4553,2.9725,6.1206,2.9191,4.2158,3.0939,10.4553
77,3.0110,3.0122,0.0392,3.1832,5.7163,3.1820,5.6771,3.0110,0.0000,3.0110,0.0000,3.0122,0.0392,3.0110,0.0000,3.1991,6.2471,3.1832,5.7163
78,2.5140,2.5140,-0.0000,3.1027,23.4210,3.3521,33.3412,2.8652,13.9703,2.7458,9.2239,3.3516,33.3212,2.8873,14.8510,2.8251,12.3765,2.7851,10.7865
79,2.5975,2.5975,0.0000,2.5975,0.0000,2.7469,5.7545,2.7989,7.7560,2.5975,0.0000,3.1525,21.3703,2.5975,0.0000,2.7136,4.4705,2.5975,0.0000
80,2.3787,2.3787,0.0000,2.6904,13.1034,2.6904,13.1034,2.7753,16.6738,2.7548,15.8118,2.7556,15.8444,2.7689,16.4038,2.7753,16.6738,2.7753,16.6738
81,2.6019,2.6264,0.9422,2.6019,0.0000,2.6019,-0.0000,2.6264,0.9422,2.9012,11.5006,2.6264,0.9422,2.6019,0.0000,2.6019,0.0000,2.6264,0.9422
82,2.9055,2.9055,0.0000,3.2829,12.9888,3.2829,12.9888,3.3549,15.4647,3.8233,31.5853,3.3085,13.8674,3.1138,7.1686,3.1726,9.1901,3.8280,31.7470
83,2.6314,2.7233,3.4956,2.9721,12.9501,3.2965,25.2764,2.9721,12.9501,3.4811,32.2925,2.9721,12.9501,3.3676,27.9803,3.4811,32.2925,3.6781,39.7808
84,2.1453,2.1453,0.0000,2.2189,3.4302,2.1982,2.4643,2.1453,0.0000,2.2189,3.4302,2.2189,3.4302,2.1982,2.4643,2.1982,2.4643,2.1453,0.0000
85,2.4104,2.4169,0.2686,2.4169,0.2686,2.4104,-0.0000,2.4104,-0.0000,2.5732,6.7549,2.4169,0.2686,2.9471,22.2660,2.5446,5.5674,2.7312,13.3091
86,2.4956,2.5000,0.1756,2.7836,11.5410,2.5138,0.7295,3.2305,29.4449,2.9124,16.6996,2.5138,0.7295,2.5138,0.7295,2.9151,16.8075,2.5138,0.7295
87,2.8559,2.8923,1.2753,3.0102,5.4030,3.2377,13.3681,3.2936,15.3258,2.8923,1.2753,3.1630,10.7523,2.8923,1.2753,3.3035,15.6731,3.0102,5.4030
88,2.9371,2.9371,0.0000,3.8333,30.5116,3.3113,12.7383,3.1460,7.1111,3.5192,19.8180,3.5192,19.8180,3.7110,26.3493,3.6093,22.8866,3.4167,16.3274
89,2.7717,2.7717,0.0000,2.7789,0.2575,2.7717,0.0000,2.7789,0.2575,2.7789,0.2575,2.7789,0.2575,2.7789,0.2575,2.8419,2.5340,2.7789,0.2575
90,2.4978,2.5422,1.7761,2.5741,3.0519,2.5422,1.7761,3.0083,20.4346,3.0384,21.6397,2.8268,13.1683,2.5422,1.7761,2.5741,3.0519,3.0189,20.8605
91,2.4364,2.4364,0.0000,2.5148,3.2158,2.4364,0.0000,2.6837,10.1499,3.1301,28.4730,2.4578,0.8790,2.6425,8.4598,2.4578,0.8790,2.5838,6.0497
92,3.1398,3.1877,1.5268,3.1398,0.0000,3.6734,16.9964,3.5811,14.0563,3.1398,0.0000,3.8132,21.4471,3.4446,9.7082,3.9045,24.3545,3.7789,20.3558
93,2.3816,2.3816,0.0000,2.5067,5.2558,2.8810,20.9732,2.9657,24.5298,2.5114,5.4534,2.8782,20.8552,2.3816,0.0000,2.5067,5.2558,2.5114,5.4534
94,2.4819,2.9529,18.9757,2.6493,6.7449,2.6493,6.7428,2.6344,6.1432,2.4819,0.0000,2.7268,9.8675,2.6493,6.7428,2.6454,6.5848,2.6695,7.5587
95,2.2879,2.5135,9.8631,2.4552,7.3132,2.6648,16.4759,3.0968,35.3559,2.4552,7.3132,2.6278,14.8562,2.6551,16.0505,2.6311,15.0036,2.7440,19.9383
96,2.5188,2.5188,-0.0000,2.5188,0.0000,2.6404,4.8289,2.7629,9.6924,3.2886,30.5608,3.3315,32.2647,2.5188,0.0000,2.5188,0.0000,2.9615,17.5746
97,2.8669,3.1015,8.1818,2.9962,4.5083,3.0669,6.9753,3.1003,8.1412,3.3039,15.2434,3.0669,6.9753,3.3590,17.1661,3.1809,10.9519,3.0669,6.9753
98,2.7115,2.7115,0.0000,2.8003,3.2772,3.0305,11.7654,2.8217,4.0659,2.8593,5.4497,2.7115,0.0000,2.7115,0.0000,2.7910,2.9319,2.8217,4.0659
99,2.7062,2.7062,0.0000,3.1115,14.9762,3.2151,18.8055,3.3452,23.6115,2.7062,0.0000,3.1523,16.4846,3.1115,14.9762,2.7062,0.0000,3.4269,26.6293
100,2.5083,2.5083,0.0000,2.6513,5.6991,2.7751,10.6351,2.7161,8.2856,2.7161,8.2856,2.7751,10.6351,2.8022,11.7187,2.6513,5.6991,2.7161,8.2856
